article,slug,url,folder,py,ipynb,has_py,has_ipynb,status,notes
national security screening toolkit,national-security-screening-toolkit,https://sheepdogprosperitypartners.com/national-security-screening-toolkit/,national_security_diligence/notebooks,national_security_diligence/notebooks/D2_screening_toolkit.py,national_security_diligence/notebooks/D2_screening_toolkit.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
medicare outlier screen,medicare-outlier-screen,https://sheepdogprosperitypartners.com/medicare-outlier-screen/,medicare_outlier_screen,medicare_outlier_screen/medicare_outlier_screen.py,medicare_outlier_screen/medicare_outlier_screen.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
public data fraud toolkit,public-data-fraud-toolkit,https://sheepdogprosperitypartners.com/public-data-fraud-toolkit/,,,,no,no,excluded_from_worked_example_scope,"live page has method exposition or tables, but no repo-backed worked computational example located; excluded from 1:1 companion build pending owner request"
screening a states medicaid market with public data,screening-a-states-medicaid-market-with-public-data,https://sheepdogprosperitypartners.com/screening-a-states-medicaid-market-with-public-data/,medicaid_public_data_screening,medicaid_public_data_screening/screening-a-states-medicaid-market-with-public-data.py,medicaid_public_data_screening/screening-a-states-medicaid-market-with-public-data.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
continuous time markov chains transaction timing,continuous-time-markov-chains-transaction-timing,https://sheepdogprosperitypartners.com/continuous-time-markov-chains-transaction-timing/,stochastic_markov,stochastic_markov/010_continuous_time_markov.py,stochastic_markov/010_continuous_time_markov.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
correlation diagnostics,correlation-diagnostics,https://sheepdogprosperitypartners.com/correlation-diagnostics/,,,,no,no,excluded_from_worked_example_scope,"live page has method exposition or tables, but no repo-backed worked computational example located; excluded from 1:1 companion build pending owner request"
higher order variable order markov long memory,higher-order-variable-order-markov-long-memory,https://sheepdogprosperitypartners.com/higher-order-variable-order-markov-long-memory/,stochastic_markov,stochastic_markov/009_higher_order_variable_order_markov.py,stochastic_markov/009_higher_order_variable_order_markov.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
frequency of amount analysis,frequency-of-amount-analysis,https://sheepdogprosperitypartners.com/frequency-of-amount-analysis/,,,,no,no,excluded_from_worked_example_scope,"live page has method exposition or tables, but no repo-backed worked computational example located; excluded from 1:1 companion build pending owner request"
two stage screening benford first order markov,two-stage-screening-benford-first-order-markov,https://sheepdogprosperitypartners.com/two-stage-screening-benford-first-order-markov/,stochastic_markov,stochastic_markov/008_two_stage_screen.py,stochastic_markov/008_two_stage_screen.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
date pattern analysis,date-pattern-analysis,https://sheepdogprosperitypartners.com/date-pattern-analysis/,,,,no,no,excluded_from_worked_example_scope,"live page has method exposition or tables, but no repo-backed worked computational example located; excluded from 1:1 companion build pending owner request"
neo4j vs alternatives architecture comparison,neo4j-vs-alternatives-architecture-comparison,https://sheepdogprosperitypartners.com/neo4j-vs-alternatives-architecture-comparison/,,,,no,no,excluded_from_worked_example_scope,architecture or platform-comparison article; excluded from worked-example duality rule
stochastic volatility restatement timing,stochastic-volatility-restatement-timing,https://sheepdogprosperitypartners.com/stochastic-volatility-restatement-timing/,stochastic_markov,stochastic_markov/007_garch_restatement_timing.py,stochastic_markov/007_garch_restatement_timing.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
production scale dd graph operations,production-scale-dd-graph-operations,https://sheepdogprosperitypartners.com/production-scale-dd-graph-operations/,,,,no,no,excluded_from_worked_example_scope,architecture or platform-comparison article; excluded from worked-example duality rule
round number bias threshold avoidance,round-number-bias-threshold-avoidance,https://sheepdogprosperitypartners.com/round-number-bias-threshold-avoidance/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
graph based wash sale layering detection,graph-based-wash-sale-layering-detection,https://sheepdogprosperitypartners.com/graph-based-wash-sale-layering-detection/,,,,no,no,excluded_from_worked_example_scope,graph-method article with illustrative code or query text; no standalone repo companion in current GOAL scope
temporal graph patterns ownership lifecycle,temporal-graph-patterns-ownership-lifecycle,https://sheepdogprosperitypartners.com/temporal-graph-patterns-ownership-lifecycle/,,,,no,no,excluded_from_worked_example_scope,graph-method article with illustrative code or query text; no standalone repo companion in current GOAL scope
markov decision processes risk based audit sampling,markov-decision-processes-risk-based-audit-sampling,https://sheepdogprosperitypartners.com/markov-decision-processes-risk-based-audit-sampling/,stochastic_markov,stochastic_markov/006_markov_decision_audit_sampling.py,stochastic_markov/006_markov_decision_audit_sampling.ipynb,yes,yes,complete,code-bearing worked example has paired script and notebook in canonical repo
community detection related party clusters,community-detection-related-party-clusters,https://sheepdogprosperitypartners.com/community-detection-related-party-clusters/,,,,no,no,excluded_from_worked_example_scope,graph-method article with illustrative code or query text; no standalone repo companion in current GOAL scope
time series anomaly detection,time-series-anomaly-detection,https://sheepdogprosperitypartners.com/time-series-anomaly-detection/,,,,no,no,excluded_from_worked_example_scope,published DD Tech Lab page reviewed for scope; no canonical worked-example companion required in this remediation wave
random walks pagerank personalized pagerank,random-walks-pagerank-personalized-pagerank,https://sheepdogprosperitypartners.com/random-walks-pagerank-personalized-pagerank/,,,,no,no,excluded_from_worked_example_scope,graph-method article with illustrative code or query text; no standalone repo companion in current GOAL scope
graphrag due diligence knowledge management,graphrag-due-diligence-knowledge-management,https://sheepdogprosperitypartners.com/graphrag-due-diligence-knowledge-management/,,,,no,no,excluded_from_worked_example_scope,graph-method article with illustrative code or query text; no standalone repo companion in current GOAL scope
random walk stationarity tests account reconciliations,random-walk-stationarity-tests-account-reconciliations,https://sheepdogprosperitypartners.com/random-walk-stationarity-tests-account-reconciliations/,stochastic_markov,stochastic_markov/005_random_walk_stationarity.py,stochastic_markov/005_random_walk_stationarity.ipynb,yes,yes,complete,paired artifacts exist and execute; article alignment patch prepared at output/MARKOV_003_005_ARTICLE_ALIGNMENT.md
